Entity ID,Acquisition Date,Mission,Frame,Direction Flag,Image Type,Camera Type,Camera Resolution,Film Type,Generation,Polarity,Down Load Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Cormer Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
DS1021-1072DA001,1965/05/23,1021-1,1,072D,1,Aft,Stereo Medium,Black and White,2,Negative,,25°42'00"N,50°32'45.60"E,25°25'58.80"N,49°03'57.60"E,26°06'57.60"N,51°58'58.80"E,25°55'58.80"N,52°00'00"E,25°16'58.80"N,49°09'00"E,25.7,50.546,25.433,49.066,26.116,51.983,25.933,52,25.283,49.15,DS1021-1072DA001
DS1021-1072DA002,1965/05/23,1021-1,2,072D,1,Aft,Stereo Medium,Black and White,2,Negative,1,25°33'00"N,50°35'31.20"E,25°18'00"N,49°06'57.60"E,25°57'00"N,52°01'58.80"E,25°46'58.80"N,52°01'58.80"E,25°07'58.80"N,49°12'00"E,25.55,50.592,25.3,49.116,25.95,52.033,25.783,52.033,25.133,49.2,DS1021-1072DA002
DS1022-1024DA006,1965/07/21,1022-1,6,024D,1,Aft,Stereo Medium,Black and White,2,Negative,1,26°22'48"N,51°02'09.60"E,26°19'58.80"N,49°39'00"E,26°34'58.80"N,52°24'00"E,26°24'57.60"N,52°22'58.80"E,26°09'57.60"N,49°42'57.60"E,26.38,51.036,26.333,49.65,26.583,52.4,26.416,52.383,26.166,49.716,DS1022-1024DA006
DS1022-1024DA007,1965/07/21,1022-1,7,024D,1,Aft,Stereo Medium,Black and White,2,Negative,1,26°13'48"N,51°02'24"E,26°10'58.80"N,49°39'57.60"E,26°25'58.80"N,52°24'00"E,26°15'57.60"N,52°22'58.80"E,26°00'57.60"N,49°42'57.60"E,26.23,51.04,26.183,49.666,26.433,52.4,26.266,52.383,26.016,49.716,DS1022-1024DA007
DS1022-1024DA008,1965/07/21,1022-1,8,024D,1,Aft,Stereo Medium,Black and White,2,Negative,1,26°04'48"N,51°03'07.20"E,26°01'58.80"N,49°39'57.60"E,26°16'58.80"N,52°24'57.60"E,26°06'57.60"N,52°24'00"E,25°51'57.60"N,49°43'58.80"E,26.08,51.052,26.033,49.666,26.283,52.416,26.116,52.4,25.866,49.733,DS1022-1024DA008
DS1022-1024DA009,1965/07/21,1022-1,9,024D,1,Aft,Stereo Medium,Black and White,2,Negative,,25°56'24"N,51°03'25.20"E,25°52'58.80"N,49°40'58.80"E,26°07'58.80"N,52°24'57.60"E,25°57'57.60"N,52°24'00"E,25°43'58.80"N,49°43'58.80"E,25.94,51.057,25.883,49.683,26.133,52.416,25.966,52.4,25.733,49.733,DS1022-1024DA009
DS1022-1024DA010,1965/07/21,1022-1,10,024D,1,Aft,Stereo Medium,Black and White,2,Negative,1,25°47'24"N,51°04'26.40"E,25°45'57.60"N,49°42'00"E,25°57'57.60"N,52°25'58.80"E,25°48'00"N,52°24'57.60"E,25°36'00"N,49°45'00"E,25.79,51.074,25.766,49.7,25.966,52.433,25.8,52.416,25.6,49.75,DS1022-1024DA010
DS1022-1024DA011,1965/07/21,1022-1,11,024D,1,Aft,Stereo Medium,Black and White,2,Negative,,25°38'24"N,51°04'08.40"E,25°34'58.80"N,49°42'00"E,25°49'58.80"N,52°25'58.80"E,25°40'58.80"N,52°24'00"E,25°25'58.80"N,49°45'00"E,25.64,51.069,25.583,49.7,25.833,52.433,25.683,52.4,25.433,49.75,DS1022-1024DA011
DS1022-1024DA012,1965/07/21,1022-1,12,024D,1,Aft,Stereo Medium,Black and White,2,Negative,1,25°30'00"N,51°04'37.20"E,25°27'00"N,49°42'00"E,25°42'00"N,52°25'58.80"E,25°31'58.80"N,52°24'57.60"E,25°16'58.80"N,49°45'57.60"E,25.5,51.077,25.45,49.7,25.7,52.433,25.533,52.416,25.283,49.766,DS1022-1024DA012
DS1022-1024DF001,1965/07/21,1022-1,1,024D,1,Forward,Stereo Medium,Black and White,2,Negative,1,26°15'00"N,51°03'54"E,26°13'58.80"N,49°42'57.60"E,26°24'57.60"N,52°24'00"E,26°15'57.60"N,52°27'00"E,26°03'57.60"N,49°42'00"E,26.25,51.065,26.233,49.716,26.416,52.4,26.266,52.45,26.066,49.7,DS1022-1024DF001
DS1022-1024DF002,1965/07/21,1022-1,2,024D,1,Forward,Stereo Medium,Black and White,2,Negative,1,26°06'00"N,51°04'40.80"E,26°04'58.80"N,49°43'58.80"E,26°15'57.60"N,52°24'57.60"E,26°06'57.60"N,52°27'00"E,25°54'57.60"N,49°42'57.60"E,26.1,51.078,26.083,49.733,26.266,52.416,26.116,52.45,25.916,49.716,DS1022-1024DF002
DS1022-1024DF003,1965/07/21,1022-1,3,024D,1,Forward,Stereo Medium,Black and White,2,Negative,1,25°57'36"N,51°05'09.60"E,25°55'58.80"N,49°45'00"E,26°07'58.80"N,52°24'57.60"E,25°57'57.60"N,52°27'57.60"E,25°45'57.60"N,49°42'57.60"E,25.96,51.086,25.933,49.75,26.133,52.416,25.966,52.466,25.766,49.716,DS1022-1024DF003
DS1022-1024DF004,1965/07/21,1022-1,4,024D,1,Forward,Stereo Medium,Black and White,2,Negative,,25°48'36"N,51°06'07.20"E,25°45'57.60"N,49°45'57.60"E,26°00'00"N,52°25'58.80"E,25°51'00"N,52°27'57.60"E,25°36'00"N,49°45'00"E,25.81,51.102,25.766,49.766,26,52.433,25.85,52.466,25.6,49.75,DS1022-1024DF004
