Entity ID,Acquisition Date,Mission,Frame Number,Image Type,Camera,Camera Resolution,Film Type,Generation,Polarity,Operations Number,Download Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
D3C1213-200346A003,1977/08/27,1213-2,3,Black and White,A,2 to 4 feet,6,2,Negative,346,1,26°08'20.40"N,51°15'32.40"E,26°20'02.40"N,50°18'00"E,26°07'08.40"N,52°14'38.40"E,25°56'45.60"N,52°11'56.40"E,26°09'18"N,50°17'52.80"E,26.139,51.259,26.334,50.3,26.119,52.244,25.946,52.199,26.155,50.298,D3C1213-200346A003
D3C1214-200421F003,1978/05/04,1214-2,3,Black and White,F,2 to 4 feet,6,2,Negative,421,1,26°11'52.80"N,50°22'55.20"E,26°20'52.80"N,49°55'04.80"E,26°12'57.60"N,50°54'28.80"E,26°03'25.20"N,50°52'58.80"E,26°09'57.60"N,49°52'08.40"E,26.198,50.382,26.348,49.918,26.216,50.908,26.057,50.883,26.166,49.869,D3C1214-200421F003
D3C1216-300950A033,1980/10/16,1216-3,33,Black and White,A,2 to 4 feet,6,2,Negative,950,1,26°02'16.80"N,51°38'06"E,26°15'25.20"N,50°34'40.80"E,26°00'10.80"N,52°48'57.60"E,25°50'24"N,52°47'13.20"E,26°01'30"N,50°36'00"E,26.038,51.635,26.257,50.578,26.003,52.816,25.84,52.787,26.025,50.6,D3C1216-300950A033
D3C1216-401438A002,1981/03/04,1216-4,2,Black and White,A,2 to 4 feet,6,2,Negative,1438,1,26°11'49.20"N,50°48'21.60"E,26°20'56.40"N,50°09'00"E,26°14'31.20"N,51°26'45.60"E,26°01'19.20"N,51°22'15.60"E,26°11'13.20"N,50°07'15.60"E,26.197,50.806,26.349,50.15,26.242,51.446,26.022,51.371,26.187,50.121,D3C1216-401438A002
D3C1216-401438F001,1981/03/04,1216-4,1,Black and White,F,2 to 4 feet,6,2,Negative,1438,1,26°16'01.20"N,50°34'01.20"E,26°25'22.80"N,49°59'45.60"E,26°18'00"N,51°06'10.80"E,26°05'34.80"N,51°06'07.20"E,26°15'50.40"N,49°58'33.60"E,26.267,50.567,26.423,49.996,26.3,51.103,26.093,51.102,26.264,49.976,D3C1216-401438F001
D3C1217-100109A007,1982/05/23,1217-1,7,Black and White,A,2 to 4 feet,6,2,Negative,109,1,26°21'14.40"N,50°04'40.80"E,26°39'10.80"N,48°18'18"E,26°16'55.20"N,51°53'13.20"E,26°03'36"N,51°48'36"E,26°25'04.80"N,48°19'33.60"E,26.354,50.078,26.653,48.305,26.282,51.887,26.06,51.81,26.418,48.326,D3C1217-100109A007
D3C1217-100109A008,1982/05/23,1217-1,8,Black and White,A,2 to 4 feet,6,2,Negative,109,1,26°12'03.60"N,50°03'00"E,26°30'00"N,48°16'37.20"E,26°07'48"N,51°51'18"E,25°54'25.20"N,51°46'40.80"E,26°15'54"N,48°17'52.80"E,26.201,50.05,26.5,48.277,26.13,51.855,25.907,51.778,26.265,48.298,D3C1217-100109A008
D3C1217-100109F007,1982/05/23,1217-1,7,Black and White,F,2 to 4 feet,6,2,Negative,109,1,26°15'21.60"N,50°05'38.40"E,26°35'16.80"N,48°22'37.20"E,26°09'18"N,51°50'56.40"E,25°55'15.60"N,51°51'21.60"E,26°21'50.40"N,48°17'49.20"E,26.256,50.094,26.588,48.377,26.155,51.849,25.921,51.856,26.364,48.297,D3C1217-100109F007
D3C1219-200801F037,1984/09/18,1219-2,37,Black and White,F,2 to 4 feet,6,2,Negative,801,1,26°39'00"N,49°06'39.60"E,27°01'33.60"N,47°07'44.40"E,26°32'16.80"N,51°08'24"E,26°16'12"N,51°08'52.80"E,26°46'04.80"N,47°02'20.40"E,26.65,49.111,27.026,47.129,26.538,51.14,26.27,51.148,26.768,47.039,D3C1219-200801F037
D3C1219-200801F042,1984/09/18,1219-2,42,Black and White,F,2 to 4 feet,6,2,Negative,801,1,25°46'19.20"N,48°56'09.60"E,26°08'45.60"N,46°58'04.80"E,25°39'46.80"N,50°56'56.40"E,25°23'38.40"N,50°57'28.80"E,25°53'13.20"N,46°52'44.40"E,25.772,48.936,26.146,46.968,25.663,50.949,25.394,50.958,25.887,46.879,D3C1219-200801F042
D3C1219-200801F043,1984/09/18,1219-2,43,Black and White,F,2 to 4 feet,6,2,Negative,801,1,25°35'45.60"N,48°54'00"E,25°58'12"N,46°56'09.60"E,25°29'13.20"N,50°54'43.20"E,25°13'08.40"N,50°55'15.60"E,25°42'39.60"N,46°50'49.20"E,25.596,48.9,25.97,46.936,25.487,50.912,25.219,50.921,25.711,46.847,D3C1219-200801F043
